route_id,route_short_name,route_long_name,route_desc,route_type
001-179,1,"P.zza Caricamento - Via Camozzini (Voltri)",,3
003-179,3,"Staz. Principe - Sestri (Via Soliman)",,3
005-179,5,"Via di Francia - Erzelli (Polo tecnologico)",,3
006-179,6,"P.za Savio (Cornigliano) - Erzelli",,3
007-179,7,"V. Fanti D'Italia - V.Brin - V. Gallino (PonteX)",,3
008-179,8,"Via Avio (S.P.d'Arena) - Via Morasso (Bolzaneto)",,3
009-179,9,"P.za Caricamento - Rivarolo- Via Gallino(PonteX)",,3
013-179,13,"Pian Martello(Prato) - Staglieno- Via Turati",,3
014-179,14,"Pian Martello(Prato) - Staglieno- Staz. Brignole",,3
015-179,15,"Quinto (Gianellii)-Albaro-Tommaseo-Brignole Fs",,3
017-179,17,"Nervi(Commercio)-C.so Europa-Brignole-Ceccardi",,3
018-179,18,"S. Martino H -Terralba - Brignole - Degola (Samp)",,3
020-179,20,"Via Rimassa-DeFerrari-Principe-P.za V. Veneto",,3
031-179,31,"V Maggio(H Gaslini)-P.Sturla-Cso Marconi-Brignole",,3
032-179,32,"P.za Caricamento --> L.go S.Francesco da Paola",,3
034-179,34,"P.le Resasco (Staglieno)-Manin-L.go Zecca-Principe",,3
035-179,35,"Via Vannucci-H Galliera-De Ferrari-L.go S.F. Paola",,3
036-179,36,"P.zza Merani-Brignole-P.zza Manin-V.Fanti D'Italia",,3
037-179,37,"Via dei Platani (Marassi) -Brignole-De Ferrari",,3
038-179,38,"Principe - P.za Dinegro- Via Bianco (Granarolo)",,3
039-179,39,"Brignole - De Ferrari - P.za Nunziata -Via Vesuvio",,3
040-179,40,"Brignole -De Ferrari-Nunziata-Via Costanzi (Righi)",,3
042-179,42,"Via Isonzo - De Gaspari - De Ferrari",,3
043-179,43,"Brignole - Ospedale S. Martino - Brignole",,3
044-179,44,"Pza Rotonda(Borgoratti)-S.Martino-Tommaseo-V Dante",,3
045-179,45,"V. V Maggio (Gaslini) -V.Sturla-S.Martino-Brignole",,3
046-179,46,"V. Donghi (S.Fruttuoso)-Brignole-De Ferrari-Donghi",,3
047-179,47,"Via Pinetti - Brignole - Via Pinetti (Quezzi)",,3
048-179,48,"Via Geirato (Molassana)-De Stefanis-P.S S.Martino",,3
049-179,49,"Via Ginestre - C.so Montegrappa - Staz. Brignole",,3
051-179,51,"Via Biancheri (Sestri) - Via Rollino",,3
052-179,52,"V. Biancheri (Sestri) - Via S.Alberto (Cim Sestri)",,3
053-179,53,"P.za Pallavicini (Rivarolo)-Borzoli-Travi (Sestri)",,3
054-179,54,"Staz. Principe -V.Lagaccio- Staz. Principe",,3
057-179,57,"Via Rossini (Rivarolo) - P.za Garbo (Chiesa)",,3
059-179,59,"V dei Landi - Cantore - B.Powell - C.so Belvedere",,3
062-179,62,"Via Avio - Coronata - Testa di Cavallo",,3
063-179,63,"Via Avio (Sampierdarena) - Via Anfossi (PonteX)",,3
064-179,64,"P.za Manin -Righi -Belvedere Da Passano (Oregina)",,3
065-179,65,"Via Caffaro (S.Cipriano) - PonteX - P.za Cesino",,3
066-179,66,"Via Milano - Cim.Castagna - P.za Montano (Samp)",,3
067-179,67,"Via Berghini (Camaldoli)-Pianderlino-P.za Martinez",,3
071-179,71,"P.zza Rapisardi (Pegli) - S. Carlo di Cese",,3
074-179,74,"Via Custo (Bolzaneto) - P.za Chiesa di Murta",,3
082-179,82,"P.za S.Maria (Quezzi) - Staz. Brignole",,3
084-179,84,"Via Amarena (Marassi) - Staz. Brignole",,3
085-179,85,"P.za S.Giorgio di Bavari - Borgoratti - Brignole",,3
086-179,86,"P.za Grosso (S.Desiderio) - Borgoratti - Brignole",,3
087-179,87,"P.za Don Canepa (Apparizione) - Borgor - Brignole",,3
088-179,88,"P.za Grosso (S.Des)-Borgor-P.za Don Canepa (Appar)",,3
089-179,89,"Via Giovanni XXIII - P.za Martinez (S.Fruttuoso)",,3
093-179,93,"P.za Ponchielli (Pegli FS) - Via Vespucci",,3
094-179,94,"Via Stassano (Palmaro) - Pra' FS",,3
096-179,96,"Via Don Verita (Voltri) - Via Nuova Crevari",,3
097-179,97,"Via Don Verita (Voltri) - Via Fiorino",,3
101-179,101,"P.le Parks (Voltri) - Via Acquasanta (FS)",,3
128-179,128,"Erzelli - P.za Baracca - P.za di Vittorio",,3
151-179,151,"Via Biancheri (Sestri) - Viale Villa Gavotti",,3
158-179,158,"P.Consigliere (Ch.Costa)-P Baracca-P.Consigliere",,3
159-179,159,"P.Consigliere-P.Baracca-P.Consigliere",,3
160-179,160,"Cornigliano F.S. - Via Dei Sessanta",,3
165-179,165,"P.za Montano (S.P.d'Arena) - Via Fanti - Montano",,3
170-179,170,"Piazza Virgo Potens - Via Travi (Sestri)",,3
172-179,172,"Panigaro - P.za Baracca (Sestri)",,3
188-179,188,"Pra' FS - Via Pavese",,3
189-179,189,"P. Ponchielli (Pegli FS) - Quartiere Giardino",,3
190-179,190,"P.za Ponchielli (Pegli FS)-Via Laviosa",,3
192-179,192,"Via Staz.Voltri-V.Martiri Turch.-2 Dic-Staz.Voltri",,3
193-179,193,"Voltri (Verita) - Osp. S. Carlo - Montanella",,3
199-179,199,"Staz.Voltri-Turchino-Calamandrei-Verita (Voltri)",,3
270-179,270,"Via Brin(Rivarolo) - Begato - Via Reta(Bolzaneto)",,3
272-179,272,"P.za Pallavicini (Rivarolo) - V Cambiaso (Begato)",,3
273-179,273,"Via Rossini (Rivarolo) - Tofane",,3
275-179,275,"Via Bolzaneto - Via Ch. Geminiano (Campora)",,3
276-179,276,"Via Bolzaneto - Morego - S. Biagio",,3
277-179,277,"Via Bolzaneto - Cremeno",,3
340-179,340,"Via Asilo Garbarino - V.Milano - P.za Di Negro",,3
355-179,355,"Via Spallanzani (S.Teodoro) - Via Piani di Fregoso",,3
