stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,stop_street,stop_city,stop_region,stop_postcode
0001,CARICAMENTO/ACQUARIO,,44.410671,8.928418,,,Piazza Caricamento,Genoa,Regione Liguria,16100
0003,GRAMSCI 1/METRO' DARSENA,,44.413368,8.926332,,,Via Antonio Gramsci,Genoa,Regione Liguria,16100
0004,GRAMSCI 2/STATUTO,,44.414719,8.924177,,,Via Antonio Gramsci,Genoa,Regione Liguria,16100
0005,GRAMSCI 3/COMMENDA,,44.415524,8.922028,,,Via Antonio Gramsci,Genoa,Regione Liguria,16100
0006,MARITTIMA/PRINCIPE FS,,44.415497,8.919490,,,Via Alpini d'Italia,Genoa,Regione Liguria,16100
0007,BUOZZI 1/PIAZZA SAN TEODORO,,44.414341,8.913108,,,Via Bruno Buozzi,Genoa,Regione Liguria,16100
0008,BUOZZI 2/METRO-LANTERNA,,44.413555,8.911274,,,Piazza Dinegro,Genoa,Regione Liguria,16100
0009,FRANCIA 1/MATITONE,,44.410469,8.905462,,,Via di Francia,Genoa,Regione Liguria,16100
0010,FRANCIA 2/STAZIONE FS,,44.409126,8.900817,,,Via di Francia,Genoa,Regione Liguria,16100
0011,BURANELLO 1/BARABINO,,44.409058,8.896314,,,Via Giacomo Buranello,Genoa,Regione Liguria,16100
0012,BURANELLO 2/GIOVANETTI,,44.410545,8.891861,,,Via Giacomo Buranello,Genoa,Regione Liguria,16100
0013,AVIO 1/MOLTENI,,44.411911,8.887004,,,Via Federico Avio,Genoa,Regione Liguria,16100
0014,PACINOTTI/FIUMARA,,44.414280,8.883670,,,Via Antonio Pacinotti,Genoa,Regione Liguria,16100
0015,PIERAGOSTINI/FIUMARA,,44.414883,8.881797,,,Via Raffaele Pieragostini,Genoa,Regione Liguria,16100
0016,CORNIGLIANO 1/GIARDINI MELIS,,44.416119,8.873957,,,Via Cornigliano,Genoa,Regione Liguria,16100
0017,CORNIGLIANO 2/RIZZOLIO,,44.415913,8.871523,,,Via Cornigliano,Genoa,Regione Liguria,16100
0018,CORNIGLIANO 3/PIAZZA CONTI,,44.415562,8.867803,,,Via Cornigliano,Genoa,Regione Liguria,16100
0019,CORNIGLIANO 4/STAZIONE FS,,44.415333,8.865022,,,Via Cornigliano,Genoa,Regione Liguria,16100
0020,SIFFREDI 2/ACCIAIO,,44.420128,8.858760,,,Via Angelo Siffredi,Genoa,Regione Liguria,16100
0021,SIFFREDI 3/CALCINARA,,44.421318,8.857109,,,Via Angelo Siffredi,Genoa,Regione Liguria,16100
0022,HERMADA/MENOTTI,,44.423405,8.852964,,,Via Hermada,Genoa,Regione Liguria,16100
0023,PUCCINI 1/SESTRI FS AEROPORTO,,44.422310,8.849436,,,Via Giacomo Puccini,Genoa,Regione Liguria,16100
0024,PUCCINI 2/SESTRI FS,,44.423138,8.846321,,,Via Giacomo Puccini,Genoa,Regione Liguria,16100
0025,SOLIMAN/CERRUTI,,44.424400,8.844149,,,Via Giacomo Soliman,Genoa,Regione Liguria,16100
0026,MERANO 1/VILLA ROSSI,,44.426167,8.843225,,,Via Merano,Genoa,Regione Liguria,16100
0027,MERANO 2/MONFALCONE,,44.426838,8.840454,,,Via Merano,Genoa,Regione Liguria,16100
0028,MERANO 3/AMIU,,44.427467,8.835768,,,Via Merano,Genoa,Regione Liguria,16100
0029,MULTEDO/VILLA CHIESA,,44.426220,8.830168,,,Via Multedo di Pegli,Genoa,Regione Liguria,16100
0030,RONCHI/VIGILI DEL FUOCO,,44.425667,8.826967,,,Via Multedo di Pegli,Genoa,Regione Liguria,16100
0031,LUNGOMARE DI PEGLI 1/VARENNA,,44.424885,8.821196,,,Lungomare di Pegli,Genoa,Regione Liguria,16100
0032,LUNGOMARE2/FS-MUSEIPALLAVICINI,,44.424850,8.815638,,,Lungomare di Pegli,Genoa,Regione Liguria,16100
0033,PEGLI 1/PORTICCIOLO,,44.424641,8.812321,,,Via Pegli,Genoa,Regione Liguria,16100
0034,PEGLI 2/RISVEGLIO,,44.423584,8.807083,,,Via Pegli,Genoa,Regione Liguria,16100
0035,PEGLI 4/LIDO,,44.424404,8.801941,,,Via Pegli,Genoa,Regione Liguria,16100
0036,PRA' 1/CASTELLUCCIO,,44.424843,8.799378,,,Via Pegli,Genoa,Regione Liguria,16100
0037,PRA' 3/FERRIERE,,44.425941,8.793636,,,Via Prà,Genoa,Regione Liguria,16100
0038,PRA' 4/PRA' FS,,44.426579,8.789221,,,Via Prà,Genoa,Regione Liguria,16100
0039,PRA' 5/CORDANIERI,,44.427071,8.785978,,,Via Prà,Genoa,Regione Liguria,16100
0040,PRA' 6/LAURA,,44.427517,8.779722,,,Via Prà,Genoa,Regione Liguria,16100
0041,PRA' 7/PALMARO CENTRO,,44.427505,8.773957,,,Via Prà,Genoa,Regione Liguria,16100
0042,PRA' 8/DE MARI,,44.427868,8.771554,,,Via Prà,Genoa,Regione Liguria,16100
0043,PRA' 9/VILLA PODESTA',,44.428131,8.766548,,,Via Prà,Genoa,Regione Liguria,16100
0044,PRA' 10/VERRINA,,44.428413,8.762185,,,Via Prà,Genoa,Regione Liguria,16100
0045,VOLTRI/VOLTRI FS,,44.428898,8.759127,,,Via Voltri,Genoa,Regione Liguria,16100
0046,VERITA'/VOLTRI FS,,44.428482,8.755344,,,Via Don Giovanni Verità,Genoa,Regione Liguria,16100
0047,CAMOZZINI 1/VILLA DUCHESSA,,44.428448,8.750944,,,Via Carlo Camozzini,Genoa,Regione Liguria,16100
0048,CAMOZZINI 2/PRATI,,44.428612,8.747858,,,Via Carlo Camozzini,Genoa,Regione Liguria,16100
0049,CAMOZZINI 3/CADUTI,,44.428143,8.745120,,,Via Carlo Camozzini,Genoa,Regione Liguria,16100
0050,CAMOZZINI/DALL'ORTO,,44.427376,8.743212,,,Via Carlo Camozzini,Genoa,Regione Liguria,16100
0051,CAMOZZINI 2/CADUTI,,44.428169,8.745475,,,Via Carlo Camozzini,Genoa,Regione Liguria,16100
0052,CAMOZZINI 3/ODICINI,,44.428463,8.749455,,,Via Carlo Camozzini,Genoa,Regione Liguria,16100
0053,CAMOZZINI 4/VILLA DUCHESSA,,44.428284,8.751525,,,Via Carlo Camozzini,Genoa,Regione Liguria,16100
0054,VERITA'/VOLTRI FS,,44.428379,8.755668,,,Via Don Giovanni Verità,Genoa,Regione Liguria,16100
0055,VOLTRI/VOLTRI FS,,44.428684,8.760027,,,Via Voltri,Genoa,Regione Liguria,16100
0056,PRA' 1/VERRINA,,44.428131,8.763851,,,Via Prà,Genoa,Regione Liguria,16100
0057,PRA' 2/VILLA PODESTA',,44.427986,8.767262,,,Via Prà,Genoa,Regione Liguria,16100
0058,PRA' 3/DE MARI,,44.427792,8.771286,,,Via Prà,Genoa,Regione Liguria,16100
0059,PRA' 4/PALMARO CENTRO,,44.427322,8.774429,,,Via Prà,Genoa,Regione Liguria,16100
0060,PRA' 5/LAURA,,44.427330,8.779619,,,Via Prà,Genoa,Regione Liguria,16100
0061,PRA' 6/CORDANIERI,,44.426823,8.786268,,,Via Prà,Genoa,Regione Liguria,16100
0062,PRA' 7/PRA' FS,,44.426498,8.789277,,,Via Prà,Genoa,Regione Liguria,16100
0063,PRA' 8/FERRIERE,,44.425789,8.793674,,,Via Prà,Genoa,Regione Liguria,16100
0064,PEGLI 1/CASTELLUCCIO,,44.424618,8.800028,,,Via Pegli,Genoa,Regione Liguria,16100
0065,PEGLI 2/LIDO,,44.424004,8.803532,,,Via Pegli,Genoa,Regione Liguria,16100
0066,PEGLI 3/RISVEGLIO,,44.423210,8.807417,,,Via Pegli,Genoa,Regione Liguria,16100
0067,PEGLI 4/PORTICCIOLO,,44.424625,8.812596,,,Via Pegli,Genoa,Regione Liguria,16100
0068,LUNGOMARE1/FS-MUSEIPALLAVICINI,,44.424919,8.816893,,,Lungomare di Pegli,Genoa,Regione Liguria,16100
0069,LUNGOMARE DI PEGLI 2/VARENNA,,44.424679,8.819118,,,Lungomare di Pegli,Genoa,Regione Liguria,16100
0070,RONCHI/VIGILI DEL FUOCO,,44.425312,8.825922,,,Via Ronchi,Genoa,Regione Liguria,16100
0071,MULTEDO/VILLA CHIESA,,44.426029,8.831294,,,Via Multedo di Pegli,Genoa,Regione Liguria,16100
0072,MERANO 1/AMIU,,44.427319,8.836301,,,Via Merano,Genoa,Regione Liguria,16100
0073,MERANO 2/MONFALCONE,,44.426651,8.840718,,,Via Merano,Genoa,Regione Liguria,16100
0074,MERANO 3/VILLA ROSSI,,44.426056,8.843132,,,Via Merano,Genoa,Regione Liguria,16100
0075,MENOTTI 2/CHIESA,,44.424252,8.849061,,,Via Ciro Menotti,Genoa,Regione Liguria,16100
0076,MENOTTI 3/HERMADA,,44.423378,8.852268,,,Via Ciro Menotti,Genoa,Regione Liguria,16100
0077,SIFFREDI 1/CALCINARA,,44.421535,8.856711,,,Via Angelo Siffredi,Genoa,Regione Liguria,16100
0078,SIFFREDI 2/ACCIAIO,,44.420303,8.858294,,,Via Angelo Siffredi,Genoa,Regione Liguria,16100
0079,CORNIGLIANO 1/SAVIO,,44.415394,8.867133,,,Via Cornigliano,Genoa,Regione Liguria,16100
0080,CORNIGLIANO 2/PIAZZA CONTI,,44.415508,8.868635,,,Via Cornigliano,Genoa,Regione Liguria,16100
0081,CORNIGLIANO 2/BRIGHENTI,,44.415936,8.872857,,,Via Cornigliano,Genoa,Regione Liguria,16100
0082,CORNIGLIANO 3/MASSENA,,44.416100,8.875029,,,Via Cornigliano,Genoa,Regione Liguria,16100
0083,PIERAGOSTINI/FIUMARA,,44.414421,8.883149,,,Via Raffaele Pieragostini,Genoa,Regione Liguria,16100
0084,PACINOTTI/FIUMARA,,44.412739,8.884516,,,Via Antonio Pacinotti,Genoa,Regione Liguria,16100
0085,AVIO/MOLTENI,,44.411839,8.886524,,,Via Federico Avio,Genoa,Regione Liguria,16100
0086,CANTORE 1/MONTANO,,44.412663,8.889579,,,Via Antonio Cantore,Genoa,Regione Liguria,16100
0087,CANTORE 2/LA SPEZIA,,44.411552,8.893598,,,Via Antonio Cantore,Genoa,Regione Liguria,16100
0088,CANTORE 4/S.B. DEL FOSSATO,,44.410374,8.898428,,,Via Antonio Cantore,Genoa,Regione Liguria,16100
0089,CANTORE 6/MATITONE,,44.411728,8.906962,,,Via Antonio Cantore,Genoa,Regione Liguria,16100
0090,DINEGRO/TRAGHETTI-LANTERNA,,44.412426,8.909649,,,Via Milano,Genoa,Regione Liguria,16100
0091,BUOZZI/METRO' DINEGRO,,44.413937,8.912330,,,Via Bruno Buozzi,Genoa,Regione Liguria,16100
0092,MARITTIMA/PRINCIPE FS,,44.415249,8.918525,,,Via Adua,Genoa,Regione Liguria,16100
0093,GRAMSCI 2/METRO' DARSENA,,44.413757,8.925360,,,Via Antonio Gramsci,Genoa,Regione Liguria,16100
0094,THAON DI REVEL/BRIGNOLE FS,,44.405773,8.945749,,,Viale Paolo Thaon de Revel,Genoa,Regione Liguria,16100
0096,AVIO/FIUMARA,,44.412113,8.885444,,,Via Federico Avio,Genoa,Regione Liguria,16100
0097,SULFUREE 1/AUTOSTRADA,,44.428444,8.769557,,,Via alle Sorgenti Sulfuree,Genoa,Regione Liguria,16100
0100,DINEGRO/TERMINAL TRAGHETTI,,44.412346,8.909227,,,Via Milano,Genoa,Regione Liguria,16100
0101,CANTORE 2/COL,,44.411095,8.904682,,,Via Antonio Cantore,Genoa,Regione Liguria,16100
0102,CANTORE 3/S.B. DEL FOSSATO,,44.410545,8.898829,,,Via Antonio Cantore,Genoa,Regione Liguria,16100
0103,CANTORE 5/VILLA SCASSI,,44.411552,8.895111,,,Via Antonio Cantore,Genoa,Regione Liguria,16100
0104,CANTORE 6/RONCO,,44.412224,8.891920,,,Via Antonio Cantore,Genoa,Regione Liguria,16100
0105,MONTANO/SAMPIERDARENA FS,,44.413094,8.888226,,,Piazza Nicolò Montano,Genoa,Regione Liguria,16100
0107,SAMPIERDARENA 1/MOLTENI,,44.410866,8.885847,,,Via San Pier d'Arena,Genoa,Regione Liguria,16100
0108,SAMPIERDARENA 2/MONASTERO,,44.410007,8.889278,,,Via San Pier d'Arena,Genoa,Regione Liguria,16100
0109,BARABINO/BURANELLO,,44.408524,8.897612,,,Piazza Nicolò Barabino,Genoa,Regione Liguria,16100
0110,FRANCIA 1/WTC,,44.408901,8.900669,,,Via di Francia,Genoa,Regione Liguria,16100
0111,PINETTI 3/,,44.420563,8.969794,,,Via Piero Pinetti,Genoa,Regione Liguria,16100
0112,PRINCIPE FS/CAPOLINEA,,44.416759,8.921912,,,Piazza Acquaverde,Genoa,Regione Liguria,16100
0113,DORIA/METRO' PRINCIPE,,44.416401,8.919827,,,Via Andrea Doria,Genoa,Regione Liguria,16100
0114,SAN BENEDETTO/AMBA ALAGI,,44.415695,8.915779,,,Via San Benedetto,Genoa,Regione Liguria,16100
0115,FRANCIA 2/MATITONE,,44.410225,8.905492,,,Strada Aldo Moro,Genoa,Regione Liguria,16100
0116,BRIGNOLE FS/CAPOLINEA,,44.406235,8.946278,,,Piazza Giuseppe Verdi,Genoa,Regione Liguria,16100
0117,BRIGATA BISAGNO/CADORNA,,44.403614,8.946648,,,Viale Brigata Bisagno,Genoa,Regione Liguria,16100
0118,SAFFI 1/QUESTURA,,44.399860,8.944535,,,Corso Aurelio Saffi,Genoa,Regione Liguria,16100
0119,SAFFI 2/PESCATORI,,44.397751,8.943312,,,Corso Aurelio Saffi,Genoa,Regione Liguria,16100
0120,SAFFI 3/MUSEO VILLA CROCE,,44.397724,8.939131,,,Corso Aurelio Saffi,Genoa,Regione Liguria,16100
0121,SAFFI 4/FIODOR,,44.398548,8.935355,,,Corso Aurelio Saffi,Genoa,Regione Liguria,16100
0122,QUADRIO 1/ORTIZ,,44.402405,8.931291,,,Corso Maurizio Quadrio,Genoa,Regione Liguria,16100
0123,QUADRIO 2/MARINA,,44.403652,8.930035,,,Corso Maurizio Quadrio,Genoa,Regione Liguria,16100
0124,CAVOUR/VARCO QUADRIO,,44.406082,8.927784,,,Piazza Camillo Benso Conte di Cavour,Genoa,Regione Liguria,16100
0125,SOLIMAN/MENOTTI,,44.425274,8.844291,,,Via Giacomo Soliman,Genoa,Regione Liguria,16100
0126,CAVOUR/VARCO QUADRIO,,44.406166,8.927540,,,Piazza Camillo Benso Conte di Cavour,Genoa,Regione Liguria,16100
0127,QUADRIO/MARINA,,44.404083,8.929409,,,Corso Maurizio Quadrio,Genoa,Regione Liguria,16100
0128,SAFFI 2/RIVOLI,,44.400387,8.932667,,,Corso Aurelio Saffi,Genoa,Regione Liguria,16100
0129,SAFFI 3/FIODOR,,44.398052,8.936442,,,Corso Aurelio Saffi,Genoa,Regione Liguria,16100
0130,SAFFI 4/MUSEO VILLA CROCE,,44.397503,8.939615,,,Corso Aurelio Saffi,Genoa,Regione Liguria,16100
0131,SAFFI 5/PESCATORI,,44.397152,8.942930,,,Corso Aurelio Saffi,Genoa,Regione Liguria,16100
