route_id,service_id,trip_id,trip_headsign,block_id
034-179,E00261-EstFer-Fête-1-12,11862475-E00261-EstFer-Fête-1-12-1111111,"PRINCIPE FS",2982
034-179,E00261-EstFer-Fête-1-12,11862476-E00261-EstFer-Fête-1-12-1111111,"CIM.STAGLIENO",2982
034-179,E00261-EstFer-Fête-1-12,11862477-E00261-EstFer-Fête-1-12-1111111,"PRINCIPE FS",2985
034-179,E00261-EstFer-Fête-1-12,11862478-E00261-EstFer-Fête-1-12-1111111,"PRINCIPE FS",1916
034-179,E00261-EstFer-Fête-1-12,11862479-E00261-EstFer-Fête-1-12-1111111,"PRINCIPE FS",2982
034-179,E00261-EstFer-Fête-1-12,11862480-E00261-EstFer-Fête-1-12-1111111,"PRINCIPE FS",1907
034-179,E00261-EstFer-Fête-1-12,11862481-E00261-EstFer-Fête-1-12-1111111,"CIM.STAGLIENO",2982
634-179,E00261-EstFer-Fête-1-12,11862482-E00261-EstFer-Fête-1-12-1111111,"CIM.STAGLIENO",2985
634-179,E00261-EstFer-Fête-1-12,11862483-E00261-EstFer-Fête-1-12-1111111,"PRINCIPE FS",2985
634-179,E00261-EstFer-Fête-1-12,11862484-E00261-EstFer-Fête-1-12-1111111,"PRINCIPE FS",2985
634-179,E00261-EstFer-Fête-1-12,11862485-E00261-EstFer-Fête-1-12-1111111,"CIM.STAGLIENO",1940
634-179,E00261-EstFer-Fête-1-12,11862486-E00261-EstFer-Fête-1-12-1111111,"CIM.STAGLIENO",2985
634-179,E00261-EstFer-Fête-1-12,11862487-E00261-EstFer-Fête-1-12-1111111,"PRINCIPE FS",2985
634-179,E00261-EstFer-Fête-1-12,11862488-E00261-EstFer-Fête-1-12-1111111,"CIM.STAGLIENO",2985
634-179,E00261-EstFer-Fête-1-12,11862489-E00261-EstFer-Fête-1-12-1111111,"PRINCIPE FS",2985
634-179,E00261-EstFer-Fête-1-12,11862490-E00261-EstFer-Fête-1-12-1111111,"CIM.STAGLIENO",2985
634-179,E00261-EstFer-Fête-1-12,11862491-E00261-EstFer-Fête-1-12-1111111,"PRINCIPE FS",2985
634-179,E00261-EstFer-Fête-1-12,11862492-E00261-EstFer-Fête-1-12-1111111,"CIM.STAGLIENO",2985
034-179,E00261-EstFer-Fête-1-12,11862493-E00261-EstFer-Fête-1-12-1111111,"PRINCIPE FS",1907
034-179,E00261-EstFer-Fête-1-12,11862494-E00261-EstFer-Fête-1-12-1111111,"CIM.STAGLIENO",1907
034-179,E00261-EstFer-Fête-1-12,11862495-E00261-EstFer-Fête-1-12-1111111,"CIM.STAGLIENO",1929
034-179,E00261-EstFer-Fête-1-12,11862496-E00261-EstFer-Fête-1-12-1111111,"CIM.STAGLIENO",1940
034-179,E00261-EstFer-Fête-1-12,11862498-E00261-EstFer-Fête-1-12-1111111,"PRINCIPE FS",1940
034-179,E00261-EstFer-Fête-1-12,11862499-E00261-EstFer-Fête-1-12,"PRINCIPE FS",2982
034-179,E00261-EstFer-Fête-1-12,11862500-E00261-EstFer-Fête-1-12,"PRINCIPE FS",1907
034-179,E00261-EstFer-Fête-1-12,11862501-E00261-EstFer-Fête-1-12,"PRINCIPE FS",1929
034-179,E00261-EstFer-Fête-1-12,11862502-E00261-EstFer-Fête-1-12,"PRINCIPE FS",1936
034-179,E00261-EstFer-Fête-1-12,11862503-E00261-EstFer-Fête-1-12,"PRINCIPE FS",2985
034-179,E00261-EstFer-Fête-1-12,11862504-E00261-EstFer-Fête-1-12,"PRINCIPE FS",1916
034-179,E00261-EstFer-Fête-1-12,11862505-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",1916
034-179,E00261-EstFer-Fête-1-12,11862506-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",1907
034-179,E00261-EstFer-Fête-1-12,11862507-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",2985
034-179,E00261-EstFer-Fête-1-12,11862508-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",2982
034-179,E00261-EstFer-Fête-1-12,11862509-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",1929
034-179,E00261-EstFer-Fête-1-12,11862510-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",1916
034-179,E00261-EstFer-Fête-1-12,11862511-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",1907
034-179,E00261-EstFer-Fête-1-12,11862512-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",2985
034-179,E00261-EstFer-Fête-1-12,11862513-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",1936
034-179,E00261-EstFer-Fête-1-12,11862514-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",2982
034-179,E00261-EstFer-Fête-1-12,11862515-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",1929
034-179,E00261-EstFer-Fête-1-12,11862516-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",1916
034-179,E00261-EstFer-Fête-1-12,11862517-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",1907
034-179,E00261-EstFer-Fête-1-12,11862518-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",2985
034-179,E00261-EstFer-Fête-1-12,11862519-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",1936
034-179,E00261-EstFer-Fête-1-12,11862520-E00261-EstFer-Fête-1-12,"PRINCIPE FS",2982
034-179,E00261-EstFer-Fête-1-12,11862521-E00261-EstFer-Fête-1-12,"PRINCIPE FS",1929
034-179,E00261-EstFer-Fête-1-12,11862522-E00261-EstFer-Fête-1-12,"PRINCIPE FS",1916
034-179,E00261-EstFer-Fête-1-12,11862523-E00261-EstFer-Fête-1-12,"PRINCIPE FS",1907
034-179,E00261-EstFer-Fête-1-12,11862524-E00261-EstFer-Fête-1-12,"PRINCIPE FS",2985
034-179,E00261-EstFer-Fête-1-12,11862525-E00261-EstFer-Fête-1-12,"PRINCIPE FS",1936
034-179,E00261-EstFer-Fête-1-12,11862526-E00261-EstFer-Fête-1-12,"PRINCIPE FS",2982
034-179,E00261-EstFer-Fête-1-12,11862527-E00261-EstFer-Fête-1-12,"PRINCIPE FS",1929
034-179,E00261-EstFer-Fête-1-12,11862528-E00261-EstFer-Fête-1-12,"PRINCIPE FS",2985
034-179,E00261-EstFer-Fête-1-12,11862529-E00261-EstFer-Fête-1-12,"PRINCIPE FS",1907
034-179,E00261-EstFer-Fête-1-12,11862530-E00261-EstFer-Fête-1-12,"PRINCIPE FS",1916
034-179,E00261-EstFer-Fête-1-12,11862531-E00261-EstFer-Fête-1-12,"PRINCIPE FS",2982
034-179,E00261-EstFer-Fête-1-12,11862532-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",2982
034-179,E00261-EstFer-Fête-1-12,11862533-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",1929
034-179,E00261-EstFer-Fête-1-12,11862534-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",1916
034-179,E00261-EstFer-Fête-1-12,11862535-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",1907
034-179,E00261-EstFer-Fête-1-12,11862536-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",2985
034-179,E00261-EstFer-Fête-1-12,11862537-E00261-EstFer-Fête-1-12,"PRINCIPE FS",1916
034-179,E00261-EstFer-Fête-1-12,11862538-E00261-EstFer-Fête-1-12,"PRINCIPE FS",1929
034-179,E00261-EstFer-Fête-1-12,11862539-E00261-EstFer-Fête-1-12,"PRINCIPE FS",2985
034-179,E00261-EstFer-Fête-1-12,11862540-E00261-EstFer-Fête-1-12,"PRINCIPE FS",1940
034-179,E00261-EstFer-Fête-1-12,11862541-E00261-EstFer-Fête-1-12,"PRINCIPE FS",2982
034-179,E00261-EstFer-Fête-1-12,11862542-E00261-EstFer-Fête-1-12,"PRINCIPE FS",2985
034-179,E00261-EstFer-Fête-1-12,11862543-E00261-EstFer-Fête-1-12,"PRINCIPE FS",1916
034-179,E00261-EstFer-Fête-1-12,11862544-E00261-EstFer-Fête-1-12,"PRINCIPE FS",1929
034-179,E00261-EstFer-Fête-1-12,11862545-E00261-EstFer-Fête-1-12,"PRINCIPE FS",2982
034-179,E00261-EstFer-Fête-1-12,11862546-E00261-EstFer-Fête-1-12,"PRINCIPE FS",1929
034-179,E00261-EstFer-Fête-1-12,11862547-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",2985
034-179,E00261-EstFer-Fête-1-12,11862548-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",2982
034-179,E00261-EstFer-Fête-1-12,11862549-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",1929
034-179,E00261-EstFer-Fête-1-12,11862550-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",1916
034-179,E00261-EstFer-Fête-1-12,11863451-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",2985
034-179,E00261-EstFer-Fête-1-12,11863452-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",2982
034-179,E00261-EstFer-Fête-1-12,11863453-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",1929
034-179,E00261-EstFer-Fête-1-12,11863454-E00261-EstFer-Fête-1-12,"CIM.STAGLIENO",1916
